Std_id,Date,d44Ca915a,d44Casw
915b_1,11/6/2022,0.744612086,-1.135387914
915b_2,11/7/2022,0.7094595,-1.1705405
915b_1,11/18/2022,0.800441114,-1.079558886
915b_2,11/19/2022,0.751270009,-1.128729991
915b_1,12/8/2021,0.709316769,-1.170683231
915b_2,12/10/2021,0.68546687,-1.19453313
915b_1,1/18/2023,0.762287404,-1.117712596
915b_2,1/18/2023,0.78471627,-1.09528373
915b_1,9/6/2023,0.698543757,-1.181456243
915b_2,9/6/2023,0.78147437,-1.09852563
